City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,kristiansund,63.1115,7.732,274.51,69,0,2.06,NO,1699890654
308,giyani,-23.3025,30.7187,297.0,55,87,3.39,ZA,1699890655
309,klyuchi,52.2667,79.1667,276.45,90,99,3.9,RU,1699890655
310,alo,7.4178,6.7371,305.67,53,96,1.37,NG,1699890655
311,slave lake,55.2834,-114.769,272.14,69,100,4.63,CA,1699890655
312,salinopolis,-0.6136,-47.3561,303.94,58,43,4.01,BR,1699890386
313,badger,64.8,-147.5333,268.29,93,100,2.06,US,1699890656
314,namibe,-15.1961,12.1522,297.37,69,78,2.91,AO,1699890656
315,mao,39.8885,4.2658,292.46,94,0,4.63,ES,1699890656
316,buala,-8.145,159.5921,299.06,86,100,2.53,SB,1699890656
317,danao,10.5208,124.0272,300.18,92,100,2.24,PH,1699890656
318,talnakh,69.4865,88.3972,262.15,97,100,1.21,RU,1699890656
319,newman,37.3138,-121.0208,281.14,65,25,1.68,US,1699890657
320,vernon,50.2581,-119.2691,278.31,89,100,1.54,CA,1699890657
321,qamdo,31.1667,97.2333,268.95,46,4,1.21,CN,1699890657
322,fort mcmurray,56.7268,-111.381,267.92,93,100,1.03,CA,1699890657
323,labrador city,52.9463,-66.9114,264.1,92,100,2.06,CA,1699890657
324,nizhniy ingash,56.2,96.53,274.14,75,100,5.23,RU,1699890658
325,sambava,-14.2667,50.1667,297.95,78,69,1.8,MG,1699890658
326,lagoa,39.05,-27.9833,290.14,81,100,6.5,PT,1699890658
327,nykvarn,59.8,18.3,274.16,95,100,3.46,SE,1699890658
328,abraham's bay,59.8,18.3,274.16,95,100,3.46,SE,1699890658
329,las tablas,7.7667,-80.2833,302.15,75,97,2.22,PA,1699890659
330,minot,48.2325,-101.2963,273.27,80,0,3.09,US,1699890659
331,quellon,-43.1167,-73.6167,280.52,89,100,5.56,CL,1699890659
332,suva,-18.1416,178.4415,295.86,100,100,2.06,FJ,1699890659
333,olinda,-8.0089,-34.8553,303.0,66,40,5.14,BR,1699890659
334,vingt cinq,-8.0089,-34.8553,303.0,66,40,5.14,BR,1699890659
335,garachico,28.7781,-17.7646,295.21,69,20,4.12,ES,1699890660
336,loikaw,19.6742,97.2094,292.15,93,96,1.12,MM,1699890660
337,farafenni,13.5667,-15.6,312.01,12,37,4.56,GM,1699890660
338,alofi,-19.0595,-169.9187,296.09,94,100,5.14,NU,1699890660
339,novofedorivka,46.1713,32.3178,283.98,66,100,2.25,UA,1699890660
340,mach,29.8637,67.3298,290.45,27,54,0.7,PK,1699890661
341,porto velho,-8.7619,-63.9039,305.18,66,20,2.06,BR,1699890423
342,cabo san lucas,22.8909,-109.9124,300.1,75,8,0.9,MX,1699890614
343,victoria,22.2855,114.1577,294.44,76,23,2.68,HK,1699890661
344,butembo,0.15,29.2833,289.09,97,100,0.44,CD,1699890661
345,bukama,-9.2,25.85,298.06,74,66,1.2,CD,1699890661
346,fuglafjordur,62.244,-6.814,281.41,74,8,10.6,FO,1699890662
347,energetik,51.7445,58.7934,278.23,79,100,6.53,RU,1699890662
348,usinsk,65.9939,57.5281,260.41,96,100,4.92,RU,1699890662
349,malumfashi,11.7853,7.6218,305.34,14,55,3.19,NG,1699890662
350,kailua-kona,19.6406,-155.9956,296.13,81,0,2.06,US,1699890663
351,puerto aysen,-45.4,-72.7,279.12,99,100,3.35,CL,1699890663
